Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,01/20/2026,"Payment to Chase card ending in 0922 01/20",-1411.69,LOAN_PMT,15036.69,,
DEBIT,01/20/2026,"Online Transfer to CHK ...1268 transaction#: 27740325905 01/20",-700.00,ACCT_XFER,16448.38,,
DEBIT,01/14/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260114 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000020051651 EED:260114   IND ID:W3880                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0140051651TC",-1010.50,ACH_DEBIT,17148.38,,
DEBIT,01/14/2026,"Payment to Chase card ending in 0922 01/14",-218.41,LOAN_PMT,18158.88,,
DEBIT,01/13/2026,"Online ACH Payment 11203165877 To TacticalLogistic (_########9958)",-579.60,ACH_PAYMENT,18377.29,,
DEBIT,01/13/2026,"Online ACH Payment 11203115849 To IDFL (_######8333)",-2425.00,ACH_PAYMENT,18956.89,,
DEBIT,01/12/2026,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:260112 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000021351699 EED:260112   IND ID:W2272                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 0121351699TC",-877.90,ACH_DEBIT,21381.89,,
DEBIT,01/12/2026,"Online ACH Payment 11203044805 To WiseUSD (_###########1248)",-217.00,ACH_PAYMENT,22259.79,,
DEBIT,01/09/2026,"Online Transfer to CHK ...9873 transaction#: 27643025003 01/09",-40000.00,ACCT_XFER,22476.79,,
DEBIT,01/06/2026,"ORIG CO NAME:INTUIT 21250666        ORIG ID:4462800242 DESC DATE:260106 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000026418945 EED:260106   IND ID:19658330                     IND NAME:TARGON LLC TRN: 0066418945TC",-1200.94,ACH_DEBIT,62476.79,,
DEBIT,01/06/2026,"ORIG CO NAME:INTUIT 77719683        ORIG ID:4462800242 DESC DATE:260106 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000029324188 EED:260106   IND ID:19658330                     IND NAME:TARGON LLC TRN: 0069324188TC",-3229.06,ACH_DEBIT,63677.73,,
DEBIT,01/05/2026,"Payment to Chase card ending in 0922 01/05",-1600.27,LOAN_PMT,66906.79,,
CREDIT,01/05/2026,"ORIG CO NAME:AMAZON.CCTD17V1A       ORIG ID:3215240102 DESC DATE:260104 CO ENTRY DESCR:PAYMENTS  SEC:CCD    TRACE#:021000022588841 EED:260105   IND ID:4KNO1AH2ZUBMA9Q              IND NAME:TARGON LLC TRN: 0052588841TC",0.01,ACH_CREDIT,68507.06,,
DEBIT,01/02/2026,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,68507.05,,
DEBIT,01/02/2026,"Online ACH Payment 11201879919 To TacticalLogistic (_########9958)",-579.60,ACH_PAYMENT,68509.55,,
DEBIT,01/02/2026,"Payment to Chase card ending in 0922 01/02",-186.00,LOAN_PMT,69089.15,,
DEBIT,12/26/2025,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:251226 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000021510646 EED:251226   IND ID:W3448                        IND NAME:JARRAR AMJAD                                                                                                 ER AM TRN: 3601510646TC",-385.34,ACH_DEBIT,69275.15,,
DEBIT,12/26/2025,"Payment to Chase card ending in 0922 12/26",-687.00,LOAN_PMT,69660.49,,
DEBIT,12/26/2025,"Online Transfer to CHK ...1268 transaction#: 27463732066 12/26",-74.65,ACCT_XFER,70347.49,,
CREDIT,12/24/2025,"Online Transfer from CHK ...1268 transaction#: 27454553029",17553.25,ACCT_XFER,70422.14,,
DEBIT,12/22/2025,"Payment to Chase card ending in 0922 12/22",-2965.33,LOAN_PMT,52868.89,,
CREDIT,12/18/2025,"Online Transfer from CHK ...1268 transaction#: 27373852348",9498.87,ACCT_XFER,55834.22,,
DEBIT,12/17/2025,"Payment to Chase card ending in 0922 12/17",-10.66,LOAN_PMT,46335.35,,
DEBIT,12/08/2025,"ORIG CO NAME:AMERICAN EXPRESS       ORIG ID:2005032111 DESC DATE:251208 CO ENTRY DESCR:ACH PMT   SEC:CCD    TRACE#:021000025957010 EED:251208   IND ID:M2620                        IND NAME:TARGON LLC                                                                                                   ER AM TRN: 3425957010TC",-100.00,MISC_DEBIT,46346.01,,
DEBIT,12/08/2025,"ORIG CO NAME:Wise Inc               ORIG ID:9453233521 DESC DATE:251208 CO ENTRY DESCR:WISE      SEC:CCD    TRACE#:021000028005292 EED:251208   IND ID:invoice-1960897              IND NAME:Targon LLC                                                                                                   84710859 TRN: 3428005292TC",-31.00,MISC_DEBIT,46446.01,,
CREDIT,12/05/2025,"Online Transfer from CHK ...1268 transaction#: 27219075702",9459.17,ACCT_XFER,46477.01,,
DEBIT,12/04/2025,"Payment to Chase card ending in 0922 12/04",-599.30,LOAN_PMT,37017.84,,
DEBIT,12/04/2025,"Online ACH Payment 11198215416 To TacticalLogistic (_########9958)",-463.68,ACH_PAYMENT,37617.14,,
DEBIT,12/04/2025,"ORIG CO NAME:INTUIT 69042897        ORIG ID:4462800242 DESC DATE:251204 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000025058064 EED:251204   IND ID:19658330                     IND NAME:TARGON LLC TRN: 3385058064TC",-1088.74,ACH_DEBIT,38080.82,,
DEBIT,12/04/2025,"ORIG CO NAME:INTUIT 77679028        ORIG ID:4462800242 DESC DATE:251204 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000025057360 EED:251204   IND ID:19658330                     IND NAME:TARGON LLC TRN: 3385057360TC",-3217.26,ACH_DEBIT,39169.56,,
CREDIT,12/04/2025,"Online Transfer from CHK ...1268 transaction#: 27204007557",8940.65,ACCT_XFER,42386.82,,
CREDIT,12/03/2025,"Online Transfer from CHK ...1268 transaction#: 27187182814",9379.01,ACCT_XFER,33446.17,,
DEBIT,12/01/2025,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,24067.16,,
DEBIT,12/01/2025,"Payment to Chase card ending in 0922 12/01",-13.00,LOAN_PMT,24069.66,,
DEBIT,11/28/2025,"Payment to Chase card ending in 0922 11/28",-190.32,LOAN_PMT,24082.66,,
CREDIT,11/28/2025,"Online Transfer from CHK ...1268 transaction#: 27125687012",9149.69,ACCT_XFER,24272.98,,
CREDIT,11/26/2025,"Online Transfer from CHK ...1268 transaction#: 27105801913",9409.42,ACCT_XFER,15123.29,,
CREDIT,11/25/2025,"Online Transfer from CHK ...1268 transaction#: 27092987642",2727.00,ACCT_XFER,5713.87,,
DEBIT,11/24/2025,"Payment to Chase card ending in 0922 11/24",-117.16,LOAN_PMT,2986.87,,
DEBIT,11/24/2025,"Payment to Chase card ending in 0922 11/24",-1416.08,LOAN_PMT,3104.03,,
DEBIT,11/17/2025,"Online ACH Payment 11195933408 To TacticalLogistic (_########9958)",-1645.00,ACH_PAYMENT,4520.11,,
DEBIT,11/06/2025,"ORIG CO NAME:INTUIT 10944779        ORIG ID:4462800242 DESC DATE:251106 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000025281658 EED:251106   IND ID:19658330                     IND NAME:TARGON LLC TRN: 3105281658TC",-1088.74,ACH_DEBIT,6165.11,,
DEBIT,11/06/2025,"ORIG CO NAME:INTUIT 75112276        ORIG ID:4462800242 DESC DATE:251106 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000025281556 EED:251106   IND ID:19658330                     IND NAME:TARGON LLC TRN: 3105281556TC",-3217.26,ACH_DEBIT,7253.85,,
DEBIT,11/06/2025,"ORIG CO NAME:VA. EMPLOY COMM        ORIG ID:1285590000 DESC DATE:       CO ENTRY DESCR:UITAX PAIDSEC:CCD    TRACE#:021000024672697 EED:251106   IND ID:E0013519409                  IND NAME:I1104202500002000001                                                                                         IFILE UITAX PAYMENTS TRN: 3104672697TC",-201.50,ACH_DEBIT,10471.11,,
DEBIT,11/05/2025,"Payment to Chase card ending in 0922 11/05",-1072.08,LOAN_PMT,10672.61,,
DEBIT,11/05/2025,"Online Transfer to CHK ...1203 transaction#: 26848620219 11/05",-15.00,ACCT_XFER,11744.69,,
DEBIT,11/05/2025,"ORIG CO NAME:VA DEPT TAXATION       ORIG ID:2546001734 DESC DATE:251104 CO ENTRY DESCR:TAX PAYMENSEC:CCD    TRACE#:091000010330177 EED:251105   IND ID:*****2352                    IND NAME:Targon LLC                                                                                                   EFT PAYMENTS TRN: 3090330177TC",-176.90,ACH_DEBIT,11759.69,,
DEBIT,11/04/2025,"ORIG CO NAME:IRS                    ORIG ID:3387702000 DESC DATE:110425 CO ENTRY DESCR:USATAXPYMTSEC:CCD    TRACE#:061036011086172 EED:251104   IND ID:270570811256939              IND NAME:TARGON LLC TRN: 3081086172TC",-922.13,ACH_DEBIT,11936.59,,
DEBIT,10/28/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,12858.72,,
DEBIT,10/28/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: CANADIAN IMPERIAL BANK OF COMMERCE TORONTO ON M5L 1-A2 CA BEN:/00639191562457 HONGKONG FORESTSHIPPING LTD REF:/LMPD/FSHY2509087198 INVOICE PAYMENT TRN: 3372545301ES 10/28",-8130.00,WIRE_OUTGOING,12898.72,,
DEBIT,10/22/2025,"Payment to Chase card ending in 0922 10/22",-20.00,LOAN_PMT,21028.72,,
DEBIT,10/20/2025,"Payment to Chase card ending in 0922 10/20",-103.50,LOAN_PMT,21048.72,,
DEBIT,10/14/2025,"Payment to Chase card ending in 0922 10/14",-717.46,LOAN_PMT,21152.22,,
DEBIT,10/07/2025,"ORIG CO NAME:INTUIT 54203821        ORIG ID:4462800242 DESC DATE:251007 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000023596320 EED:251007   IND ID:19658330                     IND NAME:TARGON LLC TRN: 2803596320TC",-24.00,ACH_DEBIT,21869.68,,
DEBIT,10/07/2025,"ORIG CO NAME:INTUIT 11752509        ORIG ID:4462800242 DESC DATE:251007 CO ENTRY DESCR:TAX       SEC:CCD    TRACE#:111000023596343 EED:251007   IND ID:19658330                     IND NAME:TARGON LLC TRN: 2803596343TC",-1206.74,ACH_DEBIT,21893.68,,
DEBIT,10/07/2025,"ORIG CO NAME:INTUIT 72446073        ORIG ID:4462800242 DESC DATE:251007 CO ENTRY DESCR:PAYROLL   SEC:CCD    TRACE#:111000023596124 EED:251007   IND ID:19658330                     IND NAME:TARGON LLC TRN: 2803596124TC",-3217.26,ACH_DEBIT,23100.42,,
DEBIT,10/06/2025,"Payment to Chase card ending in 0922 10/06",-116.14,LOAN_PMT,26317.68,,
CREDIT,10/03/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-ACCTVERIFY INTUIT INC. REF: c21044e58c324e0cbcd2 INFO: TEXT-RmtInf-ACCTVERIFY IID: 20251003021000021P1BRJPC09200290344 RECD: 20:57:06 TRN: 3000932276GC BREF: eeea9fa7-dea0-4c66-8e10-f5a807d1533",0.01,MISC_CREDIT,26433.82,,
CREDIT,10/03/2025,"REAL TIME TRANSFER RECD FROM ABA/CONTR BNK-021000021  FROM: BNF-ACCTVERIFY INTUIT INC. REF: 1cfba586dd39452b9073 INFO: TEXT-RmtInf-ACCTVERIFY IID: 20251003021000021P1BRJPC00160272274 RECD: 20:57:06 TRN: 3123852276GB BREF: 95b23764-dc57-43ca-b24f-b96768f0bfd",0.10,MISC_CREDIT,26433.81,,
DEBIT,10/02/2025,"Payment to Chase card ending in 0922 10/02",-94.50,LOAN_PMT,26433.71,,
DEBIT,10/01/2025,"STANDARD ACH PMNTS INITIAL FEE QTY = 2",-5.00,FEE_TRANSACTION,26528.21,,
DEBIT,10/01/2025,"Online Transfer to CHK ...1203 transaction#: 26421995744 10/01",-15.00,ACCT_XFER,26533.21,,
DEBIT,09/23/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,26548.21,,
DEBIT,09/23/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: BCHASSGSGXXX NG REF: ABC20250923007 BUSINESS EXPENSES TRN: 3302195266ES 09/23",-560.00,WIRE_OUTGOING,26588.21,,
DEBIT,09/23/2025,"Payment to Chase card ending in 0922 09/23",-165.00,LOAN_PMT,27148.21,,
DEBIT,09/15/2025,"Payment to Chase card ending in 0922 09/15",-1145.00,LOAN_PMT,27313.21,,
DEBIT,09/08/2025,"Payment to Chase card ending in 0922 09/08",-424.00,LOAN_PMT,28458.21,,
DEBIT,09/05/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,28882.21,,
DEBIT,09/05/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,28922.21,,
DEBIT,09/05/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: CTBC BANK CO LTD CENTRAL HONG KONG HK REF: CINDY PACKAGING BUSINESS EXPENSES TRN: 3841925248ES 09/05",-1385.47,WIRE_OUTGOING,28962.21,,
DEBIT,09/05/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: AGRICULTURAL BANK OF CHINA LIMITED BEIJING CHINA 10003-7 CN BEN:/10208014040009152 JIANGSU ZHIWEI ELECTROMECHANICAL CO REF: CINDY SHEETS BATCH 2 - 50 PERCENT -PI-2507223E TEL008652388810099/BUSI NESS EXPENSES TRN: 3838545248ES 09/05",-6915.39,WIRE_OUTGOING,30347.68,,
DEBIT,09/05/2025,"Payment to Chase card ending in 0922 09/05",-11.86,LOAN_PMT,37263.07,,
CREDIT,09/05/2025,"ORIG CO NAME:AMMAR AMJAD            ORIG ID:T941687665 DESC DATE:250905 CO ENTRY DESCR:SENDER    SEC:CIE    TRACE#:113000025095176 EED:250905   IND ID:TARGON LLC                   IND NAME:813272498                                                                                                    ONLNE TRNSFR88871070 TRN: 2485095176TC",31300.00,ACH_CREDIT,37274.93,,
DEBIT,09/04/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,5974.93,,
DEBIT,09/04/2025,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,6014.93,,
DEBIT,09/04/2025,"Online ACH Payment 11186569404 To Trademark (_######9019)",-1420.00,ACH_PAYMENT,6054.93,,
DEBIT,09/04/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: AGRICULTURAL BANK OF CHINA LIMITED BEIJING CHINA 10003-7 CN BEN:/10208014040009152 JIANGSU ZHIWEI ELECTROMECHANICAL CO REF: CINDY SHEETS BATCH 1 TEL008652388810099/BUSINESS EXPENSES TRN: 3229125247ES 09/04",-32567.19,WIRE_OUTGOING,7474.93,,
DEBIT,09/04/2025,"ONLINE INTERNATIONAL WIRE TRANSFER A/C: CTBC BANK CO LTD CENTRAL HONG KONG HK REF: BOX PAYMENT BUSINESS EXPENSES TRN: 3003335247ES 09/04",-5321.79,WIRE_OUTGOING,40042.12,,
DEBIT,09/03/2025,"Basic Online Payroll Payment 11186359213 to #######9168",-3229.21,BASIC_PAYROLL,45363.91,,
CREDIT,09/03/2025,"ORIG CO NAME:AMMAR AMJAD            ORIG ID:T941687665 DESC DATE:250903 CO ENTRY DESCR:SENDER    SEC:CIE    TRACE#:113000020680389 EED:250903   IND ID:TARGON LLC                   IND NAME:812211968                                                                                                    ONLNE TRNSFR88871070 TRN: 2460680389TC",20700.00,ACH_CREDIT,48593.12,,
DEBIT,09/02/2025,"Online Transfer to CHK ...1203 transaction#: 26070453668 09/02",-33.53,ACCT_XFER,27893.12,,
DEBIT,09/02/2025,"Online Transfer to CHK ...1203 transaction#: 26061301912 09/02",-73.35,ACCT_XFER,27926.65,,
CREDIT,08/29/2025,"ORIG CO NAME:AMMAR AMJAD            ORIG ID:T941687665 DESC DATE:250829 CO ENTRY DESCR:SENDER    SEC:CIE    TRACE#:113000028952202 EED:250829   IND ID:TARGON LLC                   IND NAME:811503646                                                                                                    ONLNE TRNSFR88871070 TRN: 2418952202TC",20000.00,ACH_CREDIT,28000.00,,
CREDIT,08/26/2025,"ORIG CO NAME:AMMAR AMJAD            ORIG ID:T941687665 DESC DATE:250826 CO ENTRY DESCR:SENDER    SEC:CIE    TRACE#:113000025406899 EED:250826   IND ID:TARGON LLC                   IND NAME:810678692                                                                                                    ONLNE TRNSFR88871070 TRN: 2385406899TC",8000.00,ACH_CREDIT,8000.00,,
